"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","product_shipping_class","visibility","tax_status","product_type","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured_product","product_attribute_taxonomy","tax_class","file_paths","edit_last","edit_lock","thumbnail_id","manage_stock","stock","stock_status","low_stock_threshold","stock_qty","total_sales","downloadable","virtual","regular_price","sale_price","purchase_note","menu_order","comment_status","weight","length","width","height","sku","upsell_ids","crosssell_ids","grouping_product","sale_price_dates_from","sale_price_dates_to","price","sold_individually","backorders","product_image_gallery","product_url","button_text","featured","downloadable_files","download_limit","download_expiry","download_type","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_wc_pb_bundle_sell_ids","_wc_pb_bundle_sells_title","_wc_pb_bundle_sells_discount","brand","product_category","product_tag","108","1147","1334","1560","236","25","469.57","9.57","disable_add_to_cart","disable_price","manually","onesignal_meta_box_present","onesignal_modify_title_and_content","onesignal_notification_custom_content","onesignal_notification_custom_heading","onesignal_send_notification","price1","price2","rs_page_bg_color","wcfm_policy_product_options"
"Poundcake fruit snack time 12x220 gm","4816","Pound fruit cake 220 gm 12 pack",,"2021-03-26 20:06:07","poundcake-fruit-snack-time-12x220-gm","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"2","no","no","469.57","469.57",,"0","open",,,,,"DRBAK0041",,,,,,"469.57","no","no",,,,"no",,,,,,,,,,,,,,"SNACK TIME","Snacks","Groceries","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"Poundcake vanilla snack time 12x220 gm","4817","Pound vanilla cake 220 gm 12 pack",,"2021-03-26 20:06:07","poundcake-vanilla-snack-time-12x220-gm","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"2","no","no","469.57","469.57",,"0","open",,,,,"DRBAK0042",,,,,,"469.57","no","no",,,,"no",,,,,,,,,,,,,,"SNACK TIME","Snacks","Groceries","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"Sauce soya light he shun yuan 12 x 625ml","4818","Sauce soya light  625ml 12 pack",,"2021-03-26 20:06:07","sauce-soya-light-he-shun-yuan-12-x-625ml","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"4","no","no","236","236",,"0","open",,,,,"DRSAU0416",,,,,,"236","no","no",,,,"no",,,,,,,,,,,,,,"HE SHUN YUAN","Seasoning sauces","Groceries","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"Cheese cheddar french bega 24 x 250 gm","4820","Cheese cheddar french bega  250 gm 24 pack",,"2021-03-26 20:06:07","cheese-cheddar-french-bega-24-x-250-gm","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"2","no","no","1334","1334",,"0","open",,,,,"CHCHE0130",,,,,,"1334","no","no",,,,"no",,,,,,,,,,,,,,"BEGA","Dairy egg &amp; cheeses","Groceries","108",,"1334",,"236",,"469.57",,,,"manually",,,,,,,,,
"Cheese tasty cheddar bega 24 x 250gm","4821","Cheese cheddar tasty bega  250 gm 24 pack",,"2021-03-26 20:06:07","cheese-tasty-cheddar-bega-24-x-250gm","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"0","no","no","1147","1147",,"0","open",,,,,"CHCHE0290",,,,,,"1147","no","no",,,,"no",,,,,,,,,,,,,,"BEGA","Dairy egg &amp; cheeses","Groceries","108","1147",,,"236",,"469.57",,,,"manually","1",,,,,,,,
"BAMBOO SKEWERS 10 INCH 80 PIECE","4822","Bamboo skewers 10 inch 80 pcs",,"2021-03-26 20:06:07","bamboo-skewers-10-inch-80-piece","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","11","9.57",,"0","open",,,,,"AMBAM0027",,,,,,"9.57","no","no",,,,"no",,,,,,,,,,,,,,"GENERIC","Cleaning &amp; Household","BAMBOO,NONFOOD,SKEWERS","108",,,,"236",,"469.57","9.57",,,"manually","1",,,,,,,,
"Atlas beer mega strong (16%) 24x500ml","4833","Atlas 16 mega strong beer 500ml 6pack",,"2021-03-26 20:06:07","atlas-beer-mega-strong-16-24x500ml","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"0","no","no","1565","1560",,"0","open",,,,,"DRBER0052",,,,,,"1560","no","no",,,,,,"-1","-1",,,,,,,,,,,,"Alcholic drink,Beer","Imported beer","108",,,"1560","236",,"469.57",,,,"manually",,,,,,,,,
"Hd garbage bag hotpack (65x95cm) 30x20pcs","4834","Hd garbage bag hotpack (65x95cm)",,"2021-03-26 20:06:08","hd-garbage-bag-hotpack-65x95cm-30x20pcs","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"0","no","no","713.04",,,"0","open",,,,,"AMBAG0173",,,,,,"713.04","no","no",,,,,,"-1","-1",,,,,,,,,,,,"Cleaning","Home Care &amp; Cleaning","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"Blitz insect killer crown 48 x 400 ml","4835","Blitz insect killer crown 400 ml",,"2021-03-26 20:06:08","blitz-insect-killer-crown-48-x-400-ml","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"0","no","no","1488.7",,,"0","open",,,,,"AMPES0002",,,,,,"1488.7","no","no",,,,,,"-1","-1",,,,,,,,,,,,"Hygiene","Insect &amp; Pest Control","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"Antiseptic liquid savlon 24x200ml","4839","""Give yourself and your family complete protection with the savlon antiseptic liquid that is an all-round wound care liquid trusted by doctors. Its special formula is effective in cleaning and disinfecting wounds and has healing properties. Bring home this antiseptic liquid that provides effective protection against germs and is the most trusted disinfection and wound healing antiseptic liquid used at home, hospitals, etc. 

Key benefits/uses:
An effective disinfectant solution that kills 99.9% of germs.
Safe wound care antiseptic liquid that heals gently.
Used at home and hospitals and is trusted by doctors.

Direction for use/dosage:
Has a strong formula; dilute before using.
Read the label for usage instructions.

Safety information:
For external use only; don’t swallow the liquid.
Check for an expiration date before use.
Keep it out of reach of children.
Store it in a cool and dry place
""
",,"2021-03-26 20:06:08","antiseptic-liquid-savlon-24x200ml","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"0","no","no","875",,,"0","open",,,,,"AMHYG0419",,,,,,"875","no","no",,,,,,"-1","-1",,,,,,,,,,,"SAVLON","Hygiene","Health &amp; Personal Care","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
