ID,Title,Content,Excerpt,Date,"Post Type",Permalink,_catalog,_crosssell_skus,_elementor_edit_mode,_elementor_template_type,_elementor_version,_et_additional_block,_et_primary_category,_et_product_slider,_et_product_view_color,_et_product_view_hover,_et_sale_counter,_et_single_layout,_et_single_thumbnail_hover,_file_path,_file_paths,_fixed_price_rules,_has_multi_selling,_heateor_sss_meta,_is_multi_parent,_la-digue_price,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_la-digue_sale_price_dates,_la-digue_sale_price_dates_from,_la-digue_sale_price_dates_to,_mahe_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_mahe_sale_price_dates,_mahe_sale_price_dates_from,_mahe_sale_price_dates_to,_max_variation_price,_max_variation_regular_price,_max_variation_sale_price,_min_variation_price,_min_variation_regular_price,_min_variation_sale_price,_praslin_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,_praslin_sale_price_dates,_praslin_sale_price_dates_from,_praslin_sale_price_dates_to,_product_video_autoplay,_product_video_code,_product_video_gallery,_sale_price_time_end,_sale_price_time_start,_tiered_price_rules_type,_upsell_skus,_wcfm_new_product_notified,_wcfm_product_approved_notified,_wcfm_product_author,_wcfm_product_views,_wcfmmp_commission,_wcfmmp_processing_time,_woo_uom_input,_wp_old_date,_wp_old_slug,_wp_page_template,_wp_trash_meta_status,_wp_trash_meta_time,108,1147,1334,1560,236,25,469.57,9.57,disable_add_to_cart,disable_price,manually,onesignal_meta_box_present,onesignal_modify_title_and_content,onesignal_notification_custom_content,onesignal_notification_custom_heading,onesignal_send_notification,price1,price2,rs_page_bg_color,wcfm_policy_product_options,Brands,"Product Type","Product Visibility","Product categories","Product tags","Product shipping classes","Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text","Attachment URL","Attachments Filename","Attachments Path","Attachments ID","Attachments Title","Attachments Caption","Attachments Description","Attachments Alt Text",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date","Attribute Name (Packages)","Attribute Value (Packages)","Attribute In Variations (Packages)","Attribute Is Visible (Packages)","Attribute Is Taxonomy (Packages)","Attribute Position (Packages)",Visibility,"Stock Status",Downloadable,Virtual,"Regular Price","Sale Price","Purchase Note",Featured,Weight,Length,Width,Height,SKU,"Sale Price Dates From","Sale Price Dates To",Price,"Sold IndivIDually","Manage Stock",Stock,Up-Sells,Cross-Sells,"Downloadable Files","Download Limit","Download Expiry","Product URL","Button Text",Backorders,"Tax Status","Tax Class","Default Attributes","Total Sales","Product Version","Variation Description","WC Rating Count","WC Review Count","WC Average Rating","Downloadable File Name"
4816,"Poundcake fruit snack time 12x220 gm","Pound fruit cake 220 gm 12 pack",,"March 26, 2021",product,https://shop.ewdc.in/product/poundcake-fruit-snack-time-12x220-gm/,,[],,,,,,,,,,,,,,,,,,469.57,manually,469.57,469.57,default,,,469.57,manually,108,469.57,default,,,,,,,,,469.57,manually,135,469.57,default,,,,,,,,,[],,,,4,,,,2021-02-12,,,,,108,,,,236,,469.57,,,,manually,,,,,,,,,,"SNACK TIME",simple,visible,Snacks,Groceries,,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,poundcake-fruit-snack-time-12x220-gm,,,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,visible,instock,no,no,469.57,469.57,,no,,,,,DRBAK0041,,,469.57,no,yes,15,,,,,,,,no,none,,a:0:{},2||2,5.0.0,,,0,0,
4817,"Poundcake vanilla snack time 12x220 gm","Pound vanilla cake 220 gm 12 pack",,"March 26, 2021",product,https://shop.ewdc.in/product/poundcake-vanilla-snack-time-12x220-gm/,,[],,,,,,,,,,,,,,,,,,469.57,manually,469.57,469.57,default,,,469.57,manually,108,469.57,default,,,,,,,,,469.57,manually,135,469.57,default,,,,,,,,,[],,,,,,,,2021-02-12,,,,,108,,,,236,,469.57,,,,manually,,,,,,,,,,"SNACK TIME",simple,visible,Snacks,Groceries,,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,poundcake-vanilla-snack-time-12x220-gm,,,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,visible,instock,no,no,469.57,469.57,,no,,,,,DRBAK0042,,,469.57,no,yes,15,,,,,,,,no,none,,a:0:{},2,5.0.0,,,0,0,
4818,"Sauce soya light he shun yuan 12 x 625ml","Sauce soya light  625ml 12 pack",,"March 26, 2021",product,https://shop.ewdc.in/product/sauce-soya-light-he-shun-yuan-12-x-625ml/,,[],,,,,,,,,,,,,,,,,,236,manually,469.57,236,default,,,236,manually,108,236,default,,,,,,,,,236,manually,135,236,default,,,,,,,,,[],,,,,,,,2021-02-12,,,,,108,,,,236,,469.57,,,,manually,,,,,,,,,,"HE SHUN YUAN",simple,visible,"Seasoning sauces",Groceries,,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,sauce-soya-light-he-shun-yuan-12-x-625ml,,,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,visible,instock,no,no,236,236,,no,,,,,DRSAU0416,,,236,no,yes,15,,,,,,,,no,none,,a:0:{},4,5.0.0,,,0,0,
4820,"Cheese cheddar french bega 24 x 250 gm","Cheese cheddar french bega  250 gm 24 pack",,"March 26, 2021",product,https://shop.ewdc.in/product/cheese-cheddar-french-bega-24-x-250-gm/,,[],,,,,,,,,,,,,,,,,,1334,manually,469.57,1334,default,,,1334,manually,108,1334,default,,,,,,,,,1334,manually,135,1334,default,,,,,,,,,[],,,,2,,,,2021-02-12,,,,,108,,1334,,236,,469.57,,,,manually,,,,,,,,,,BEGA,simple,visible,"Dairy egg &amp; cheeses",Groceries,,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,cheese-cheddar-french-bega-24-x-250-gm,,,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,visible,instock,no,no,1334,1334,,no,,,,,CHCHE0130,,,1334,no,yes,15,,,,,,,,no,none,,a:0:{},2,5.0.0,,,0,0,
4821,"Cheese tasty cheddar bega 24 x 250gm","Cheese cheddar tasty bega  250 gm 24 pack",,"March 26, 2021",product,https://shop.ewdc.in/product/cheese-tasty-cheddar-bega-24-x-250gm/,,[],,,,0,auto,inherit,inherit,inherit,disable,standard,inherit,,,[],,,,1147,manually,469.57,1147,default,,,1147,manually,108,1147,default,,,,,,,,,1147,manually,135,1147,default,,,,,,,,,[],,,,1,"{""commission_mode"":""global"",""commission_percent"":""90"",""commission_fixed"":"""",""tax_name"":"""",""tax_percent"":""""}",,,2021-02-12,,default,,,108,1147,,,236,,469.57,,,,manually,1,,,,,,,,,BEGA,simple,visible,"Dairy egg &amp; cheeses",Groceries,,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,cheese-tasty-cheddar-bega-24-x-250gm,,default,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,visible,instock,no,no,1147,1147,,no,,,,,CHCHE0290,,,1147,no,yes,15,,,,,,,,no,none,,a:0:{},0,5.0.0,,,0,0,
4822,"BAMBOO SKEWERS 10 INCH 80 PIECE","Bamboo skewers 10 inch 80 pcs",,"March 26, 2021",product,https://shop.ewdc.in/product/bamboo-skewers-10-inch-80-piece/,,[],,,,0,auto,inherit,inherit,inherit,disable,standard,inherit,,,[],,,,9.57,manually,469.57,9.57,default,,,9.57,manually,108,9.57,default,,,,,,,,,9.57,manually,135,9.57,default,,,,,,,,,[],,,,1,"{""commission_mode"":""global"",""commission_percent"":""90"",""commission_fixed"":"""",""tax_name"":"""",""tax_percent"":""""}",,,2021-03-10,bamboo-skewers-10-inch,default,,,108,,,,236,,469.57,9.57,,,manually,1,,,,,,,,,GENERIC,simple,visible,"Cleaning &amp; Household","BAMBOO,NONFOOD,SKEWERS",,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,bamboo-skewers-10-inch-80-piece,,default,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,visible,instock,no,no,11,9.57,,no,,,,,AMBAM0027,,,9.57,no,yes,15,,,,,,,,no,none,15,a:0:{},0,5.0.0,,,0,0,
4833,"Atlas beer mega strong (16%) 24x500ml","Atlas 16 mega strong beer 500ml 6pack",,"March 26, 2021",product,https://shop.ewdc.in/product/atlas-beer-mega-strong-16-24x500ml/,,,,,,,,,,,,,,,,[],,,,1560,manually,469.57,1560,default,,,1560,manually,108,1560,default,,,,,,,,,1560,manually,135,1560,default,,,,,,,,,,,,,5,,,,2021-02-12,,default,,,108,,,1560,236,,469.57,,,,manually,,,,,,,,,,,simple,visible,"Alcholic drink,Beer","Imported beer",,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,atlas-beer-mega-strong-16-24x500ml,,default,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,,instock,no,no,1565,1560,,,,,,,DRBER0052,,,1560,no,yes,15,,,,-1,-1,,,no,none,,a:0:{},0,5.0.0,,,0,0,
4834,"Hd garbage bag hotpack (65x95cm) 30x20pcs","Hd garbage bag hotpack (65x95cm)",,"March 26, 2021",product,https://shop.ewdc.in/product/hd-garbage-bag-hotpack-65x95cm-30x20pcs/,,,,,,,,,,,,,,,,[],,,4834,713.04,manually,469.57,,default,,,713.04,manually,108,,default,,,,,,,,,713.04,manually,135,,default,,,,,,,,,,,,,1,,,,2021-02-12,,,,,108,,,,236,,469.57,,,,manually,,,,,,,,,,,simple,visible,Cleaning,"Home Care &amp; Cleaning",,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,hd-garbage-bag-hotpack-65x95cm-30x20pcs,,,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,,instock,no,no,713.04,,,,,,,,AMBAG0173,,,713.04,no,yes,15,,,,-1,-1,,,no,none,,a:0:{},0,5.0.0,,,0,0,
4835,"Blitz insect killer crown 48 x 400 ml","Blitz insect killer crown 400 ml",,"March 26, 2021",product,https://shop.ewdc.in/product/blitz-insect-killer-crown-48-x-400-ml/,,,,,,,,,,,,,,,,[],,,4835,1488.7,manually,469.57,,default,,,1488.7,manually,108,,default,,,,,,,,,1488.7,manually,135,,default,,,,,,,,,,,,,,,,,2021-02-12,,,,,108,,,,236,,469.57,,,,manually,,,,,,,,,,,simple,visible,Hygiene,"Insect &amp; Pest Control",,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,blitz-insect-killer-crown-48-x-400-ml,,,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,,instock,no,no,1488.7,,,,,,,,AMPES0002,,,1488.7,no,yes,15,,,,-1,-1,,,no,none,,a:0:{},0,5.0.0,,,0,0,
4839,"Antiseptic liquid savlon 24x200ml","""Give yourself and your family complete protection with the savlon antiseptic liquid that is an all-round wound care liquid trusted by doctors. Its special formula is effective in cleaning and disinfecting wounds and has healing properties. Bring home this antiseptic liquid that provides effective protection against germs and is the most trusted disinfection and wound healing antiseptic liquid used at home, hospitals, etc. 

Key benefits/uses:
An effective disinfectant solution that kills 99.9% of germs.
Safe wound care antiseptic liquid that heals gently.
Used at home and hospitals and is trusted by doctors.

Direction for use/dosage:
Has a strong formula; dilute before using.
Read the label for usage instructions.

Safety information:
For external use only; don’t swallow the liquid.
Check for an expiration date before use.
Keep it out of reach of children.
Store it in a cool and dry place
""
",,"March 26, 2021",product,https://shop.ewdc.in/product/antiseptic-liquid-savlon-24x200ml/,,,,,,0,auto,inherit,inherit,inherit,disable,standard,inherit,,,[],,,,875,manually,469.57,,default,,,875,manually,108,,default,,,,,,,,,875,manually,135,,default,,,,,,,,,,,,,1,"{""commission_mode"":""global"",""commission_percent"":""90"",""commission_fixed"":"""",""tax_name"":"""",""tax_percent"":""""}",,,2021-02-12,,default,,,108,,,,236,,469.57,,,,manually,1,,,,,,,,,SAVLON,simple,visible,Hygiene,"Health &amp; Personal Care",,,,,,,,,,,,,,,,,,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,antiseptic-liquid-savlon-24x200ml,,default,0,0,0,open,open,"March 26, 2021",packages,,no,no,yes,,,instock,no,no,875,,,,,,,,AMHYG0419,,,875,no,yes,15,,,,-1,-1,,,no,none,,a:0:{},0,5.0.0,,,0,0,
