ID,Title,Content,Excerpt,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,"Product Type","Product categories","Product tags","Image URL","Images Filename","Stock Status","Regular Price","Sale Price",Featured,SKU,"Manage Stock",Stock,"Variation Description"
4816,"Poundcake fruit snack time 12x220 gm","Pound fruit cake 220 gm 12 pack",,,469.57,469.57,,469.57,469.57,,469.57,469.57,"SNACK TIME",simple,Snacks,Groceries,,,instock,469.57,469.57,no,DRBAK0041,yes,4998,
4817,"Poundcake vanilla snack time 12x220 gm","Pound vanilla cake 220 gm 12 pack",,,469.57,469.57,,469.57,469.57,,469.57,469.57,"SNACK TIME",simple,Snacks,Groceries,,,instock,469.57,469.57,no,DRBAK0042,yes,89,
4818,"Sauce soya light he shun yuan 12 x 625ml","Sauce soya light  625ml 12 pack","A full bodied and dark reddish, brown sauce that has a rich aroma of fermented soya beans and a robust colour that will enchance the taste and appearance of food when used in stir fries, marinades, stews or as a dip
#fermented soya beans
#enchance the taste of food 
#rich aroma",,236,236,,236,236,,236,236,"HE SHUN YUAN",simple,"Seasoning sauces",Groceries,,,instock,236,236,no,DRSAU0416,yes,128.68,
4819,"Dates premium mubarak 600 gm","Dates premium mubarak 600 gm","Remember the childhood days when a fruit was the best way to satiate hunger. For the hunger pangs for today's busy-ness we bring you these nutty delights in form of dried fruits. Eat one, eat more, be rest assured its only the goodness you have consumed. After all nutrition is our only tradition.

Health quotient
?Rich in vitamins and minerals
?Good source of energy
?Rich in iron and calcium
?Heart friendly

?Excellent source of nutrition
?Super food
",,45,45,,45,45,,45,45,MUBARAK,simple,Snacks,Groceries,https://shop.ewdc.in/wp-content/uploads/2020/12/MUBARAK.jpg,MUBARAK.jpg,instock,45,45,no,FRFRU0027,yes,1375,
4820,"Cheese cheddar french bega 24 x 250 gm","Cheese cheddar french bega  250 gm 24 pack","Bega processed cheddar cheese slices, have a rich, cheesy flavour and are free from artificial colors and flavours. They come individually wrapped to stay fresh. With a smooth and creamy texture they are ideal for the entire family.",,1334,1334,,1334,1334,,1334,1334,BEGA,simple,"Dairy egg &amp; cheeses",Groceries,https://shop.ewdc.in/wp-content/uploads/2020/12/Bega-processed-cheddar-cheese-250g.png,Bega-processed-cheddar-cheese-250g.png,instock,1334,1334,no,CHCHE0130,yes,153.5,
4821,"Cheese tasty cheddar bega 24 x 250gm","Cheese cheddar tasty bega  250 gm 24 pack","Bega processed cheddar cheese slices, have a rich, cheesy flavour and are free from artificial colors and flavours. They come individually wrapped to stay fresh. With a smooth and creamy texture they are ideal for the entire family.",,1147,1147,,1147,1147,,1147,1147,BEGA,simple,"Dairy egg &amp; cheeses",Groceries,https://shop.ewdc.in/wp-content/uploads/2020/12/Bega-processed-cheddar-cheese-250g.png,Bega-processed-cheddar-cheese-250g.png,instock,1147,1147,no,CHCHE0290,yes,26.8,
4822,"Bamboo skewers 10 inch 80 pcs","Bamboo skewers 10 inch 80 pcs","Bamboo satay sticks / skewers / barbecue sticks are made with finest grade of bamboo material. The material is made hygienically to avoid any health issues to customers. These are just right for nice middle size kebabs, satay or lots of marshmallows etc. These plates are widely used in functions, marriage parties, restaurants and many other places. ",,9.57,9.57,,9.57,9.57,,9.57,9.57,GENERIC,simple,Disposables,"Home Care &amp; Cleaning",https://shop.ewdc.in/wp-content/uploads/2020/12/81ivR9Re9iL__AC_SL1500_.jpg,81ivR9Re9iL__AC_SL1500_.jpg,instock,9.57,9.57,no,AMBAM0027,yes,709,
4833,"Atlas beer mega strong (16%) 24x500ml","Atlas 16 mega strong beer 500ml 6pack","Atlas 16 copper colored beer with the aroma of honey. It has a full and sizzling flavor and aftertaste.?
Buy atlas 16%?online @shop.Ewdc.In and have it delivered within an hour after confirming your order.
Enjoy fast alcohol delivery and the best prices in seychelles 

Brand: atlas
Country of origin: netherlands
Volume (ml):500ml
Alcohol content (abv):16%",,1565,1560,,1565,1560,,1565,1560,,simple,"Alcholic drink,Beer","Imported beer",https://shop.ewdc.in/wp-content/uploads/2020/12/atlas-mega-strong.jpg,atlas-mega-strong.jpg,instock,1565,1560,,DRBER0052,yes,1845,
4834,"Hd garbage bag hotpack (65x95cm) 30x20pcs","Hd garbage bag hotpack (65x95cm)","? great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. 
? provides large capacity and maximum resistance to punctures and tears 
? made with strong flex material designed to resist rips and tears even with maximum loads",,713.04,,,713.04,,,713.04,,,simple,Cleaning,"Home Care &amp; Cleaning",https://shop.ewdc.in/wp-content/uploads/2020/12/41t40u6aUeL__AC_SY400_.jpg,41t40u6aUeL__AC_SY400_.jpg,instock,713.04,,,AMBAG0173,yes,39,
4835,"Blitz insect killer crown 48 x 400 ml","Blitz insect killer crown 400 ml","?kills on contact.
?use indoors and outdoors.
?powerful and effective to kill mosquitoes, flies, cockroaches, bugs ans other insects.
?suitable to be use in household, hotels and restaurants.
?made of high-graded raw materials.
",,1488.7,,,1488.7,,,1488.7,,,simple,Hygiene,"Insect &amp; Pest Control",https://shop.ewdc.in/wp-content/uploads/2020/12/DSC04355-min-1.png,DSC04355-min-1.png,instock,1488.7,,,AMPES0002,yes,9,
4839,"Antiseptic liquid savlon 24x200ml","""Give yourself and your family complete protection with the savlon antiseptic liquid that is an all-round wound care liquid trusted by doctors. Its special formula is effective in cleaning and disinfecting wounds and has healing properties. Bring home this antiseptic liquid that provides effective protection against germs and is the most trusted disinfection and wound healing antiseptic liquid used at home, hospitals, etc. 

Key benefits/uses:
An effective disinfectant solution that kills 99.9% of germs.
Safe wound care antiseptic liquid that heals gently.
Used at home and hospitals and is trusted by doctors.

Direction for use/dosage:
Has a strong formula; dilute before using.
Read the label for usage instructions.

Safety information:
For external use only; don’t swallow the liquid.
Check for an expiration date before use.
Keep it out of reach of children.
Store it in a cool and dry place
""
","Savlon liquid antiseptic 200ml 24pack
",,875,,,875,,,875,,SAVLON,simple,Hygiene,"Health &amp; Personal Care",https://shop.ewdc.in/wp-content/uploads/2020/12/sav0052_1.jpg,sav0052_1.jpg,instock,875,,,AMHYG0419,yes,379,
4841,"Antiseptic liquid savlon 24x500ml","""Give yourself and your family complete protection with the savlon antiseptic liquid that is an all-round wound care liquid trusted by doctors. Its special formula is effective in cleaning and disinfecting wounds and has healing properties. Bring home this antiseptic liquid that provides effective protection against germs and is the most trusted disinfection and wound healing antiseptic liquid used at home, hospitals, etc. 

Key benefits/uses:
An effective disinfectant solution that kills 99.9% of germs.
Safe wound care antiseptic liquid that heals gently.
Used at home and hospitals and is trusted by doctors.

Direction for use/dosage:
Has a strong formula; dilute before using.
Read the label for usage instructions.

Safety information:
For external use only; don’t swallow the liquid.
Check for an expiration date before use.
Keep it out of reach of children.
Store it in a cool and dry place""
","Savlon liquid antiseptic 500ml 24pack
",,1785,,,1785,,,1785,,SAVLON,simple,Savlon,"Health &amp; Personal Care",https://shop.ewdc.in/wp-content/uploads/2020/12/71mtN5cFY3L__SX679_.jpg,71mtN5cFY3L__SX679_.jpg,instock,1785,,,AMHYG0418,yes,88,
4843,"Yoghurt plain pascual 24x125ml","""Enjoy a deliciously creamy yogurt.

Pascual’s creamy yogurt is a super smooth yogurt featuring delicious fruit combinations.
""
","Yoghurt plain pascual 125ml 24pack
",,229.7,,,229.7,,,229.7,,PASCUAL,simple,"Dairy egg &amp; cheeses",Grocery,https://shop.ewdc.in/wp-content/uploads/2020/12/I038310.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/73befe083204145d634901e65eda41e4.jpg,I038310.jpg||73befe083204145d634901e65eda41e4.jpg,instock,229.7,,,DRYOG0025,yes,66,
4845,"Cheese sandwich slices president 36 x 200 gm","""President sandwich cheese slices is a soft, mild-tasting fresh cheese made from milk, it can be mixed with other ingredients, such as yogurt or pepper jelly, to make spreads. They make a perfect accompaniment for your sandwiches and burgers and can also be added to pasta and noodles for a cheesy zing.
Product features:  
•brand: president
•size: 200 g
•packaging: pouch
•details: rich in calcium, it also proves to be an excellent source of daily nutrition
•individually packed, they're fun for the whole family
""
","Cheese sandwich slices 200 gm 36 pack
",,1352,,,1352,,,1352,,PRESIDENT,simple,"Dairy egg &amp; cheeses",Grocery,https://shop.ewdc.in/wp-content/uploads/2020/12/imagesUJFFN1SN.jpg,imagesUJFFN1SN.jpg,instock,1352,,,CHCHE0311,yes,283,
4847,"Floor cleaner spring freshnes hes 6 x 2.5 ltr","""Turkey's no.1 floor cleaning brand, recommended by the indian medical association 
• removes 100 types of stains & 100 germ strains 
• use directly or diluted for regular use, suitable for cleaning all kinds of surfaces 
• leaves a pleasant fragrance 
• available variants: spring , available sizes: 500ml, 975ml and 2.5l
""
","Floor cleaner spring freshnes 2.5 ltr 6 pack
",exchange_rate,350,,exchange_rate,350,,exchange_rate,350,,HES,simple,Hygiene,"Health &amp; Personal Care",https://shop.ewdc.in/wp-content/uploads/2020/12/IMG-20210108-WA0014.jpg,IMG-20210108-WA0014.jpg,instock,350,,,AMHYG0386,yes,31,
4849,"Floor cleaner spring freshnes hes 12 x 1 lt","<p>""Turkey's no.1 floor cleaning brand, recommended by the indian medical association<br>• removes 100 types of stains & 100 germ strains<br>• use directly or diluted for regular use, suitable for cleaning all kinds of surfaces<br>• leaves a pleasant fragrance<br>• available variants: spring , available sizes: 500ml, 975ml and 2.5l<br>""</p>","<p>Floor cleaner spring freshnes 1 ltr 12 pack</p>",manual,600,,manual,350,,manual,500,,HES,simple,Hygiene,"Health &amp; Personal Care",https://shop.ewdc.in/wp-content/uploads/2020/12/IMG-20210108-WA0036.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/IMG-20210108-WA0034.jpg,IMG-20210108-WA0036.jpg||IMG-20210108-WA0034.jpg,outofstock,120,,,AMHYG0385,no,,
4883,"Hd garbage bag hotpack (65x95cm) 30x20pcs","Hd garbage bag hotpack (65x95cm)","? great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. 
? provides large capacity and maximum resistance to punctures and tears 
? made with strong flex material designed to resist rips and tears even with maximum loads",exchange_rate,713.04,,exchange_rate,713.04,,exchange_rate,713.04,,"Acqua Panna",simple,Cleaning,"Home Care &amp; Cleaning",https://shop.ewdc.in/wp-content/uploads/2020/12/41t40u6aUeL__AC_SY400_.jpg,41t40u6aUeL__AC_SY400_.jpg,instock,713.04,,,AMBAG0173-1,yes,38,
4885,"Dates premium mubarak 600 gm","<p>Remember the childhood days when a fruit was the best way to satiate hunger. For the hunger pangs for today's busy-ness we bring you these nutty delights in form of dried fruits. Eat one, eat more, be rest assured its only the goodness you have consumed. After all nutrition is our only tradition.</p><p>Health quotient<br>?Rich in vitamins and minerals<br>?Good source of energy<br>?Rich in iron and calcium<br>?Heart friendly</p><p>?Excellent source of nutrition<br>?Super food</p>","<p>Dates premium mubarak 600 gm</p>",nothing,45,,nothing,45,,nothing,45,,,variable,Snacks,Groceries,https://shop.ewdc.in/wp-content/uploads/2020/12/MUBARAK.jpg,MUBARAK.jpg,instock,45,,,FRFRU0027-1,no,,
4922,"New product",,,,50,25,,50,25,,,,ATLAS,simple,"Alcholic drink",,,,instock,50,25,,1223,yes,47,
4956,"Dates premium mubarak 600 gm",,"Package: Single",exchange_rate,500,400,manual,100,90,exchange_rate,500,400,,variation,Snacks,Groceries,,,instock,500,400,,,no,0,
4957,"Dates premium mubarak 600 gm",,"Package: Carton",exchange_rate,500,200,exchange_rate,500,200,exchange_rate,500,200,,variation,Snacks,Groceries,,,instock,500,0200,,,no,0,
