ID,Title,Content,Excerpt,Date,"Post Type",Permalink,_catalog,_fixed_price_rules,_has_multi_selling,_is_multi_parent,_la-digue_price,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_la-digue_sale_price_dates,_la-digue_sale_price_dates_from,_la-digue_sale_price_dates_to,_low_stock_amount,_mahe_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_mahe_sale_price_dates,_mahe_sale_price_dates_from,_mahe_sale_price_dates_to,_max_variation_price,_max_variation_regular_price,_max_variation_sale_price,_min_variation_price,_min_variation_regular_price,_min_variation_sale_price,_praslin_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,_praslin_sale_price_dates,_praslin_sale_price_dates_from,_praslin_sale_price_dates_to,_product_video_autoplay,_product_video_code,_product_video_gallery,_sale_price_time_end,_sale_price_time_start,_thumbnail_id,_tiered_price_rules_type,_upsell_skus,_wcfm_new_product_notified,_wcfm_product_approved_notified,_wcfm_product_author,_wcfm_product_views,_wcfmmp_commission,_wcfmmp_processing_time,_wcmp_cancallation_policy,_wcmp_refund_policy,_wcmp_shipping_policy,_wcmp_spmv_map_id,_wcmp_spmv_product,_woo_uom_input,_wp_desired_post_slug,_wp_old_slug,_wp_page_template,_wp_trash_meta_comments_status,_wp_trash_meta_status,_wp_trash_meta_time,_wpnotif_newsletter_created,b2bking_category_users_textarea,b2bking_group_0,b2bking_group_3799,b2bking_group_3800,b2bking_group_b2c,b2bking_product_customrows_group_3799,b2bking_product_customrows_group_3800,b2bking_product_customrows_group_b2c,b2bking_product_pricetiers_group_3799,b2bking_product_pricetiers_group_3800,b2bking_product_pricetiers_group_b2c,b2bking_product_visibility_override,b2bking_regular_product_price_group_3799,b2bking_regular_product_price_group_3800,b2bking_sale_product_price_group_3799,b2bking_sale_product_price_group_3800,b2bking_show_information_table,price1,price2,rs_page_bg_color,Brands,"Product Type","Product Visibility","Product categories","Product tags","Product shipping classes","Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text","Attachment URL","Attachments Filename","Attachments Path",Status,"Author ID","Attribute Name (color)","Attribute Value (color)","Attribute In Variations (color)","Attribute Is Visible (color)","Attribute Is Taxonomy (color)","Attribute Position (color)","Stock Status","Regular Price","Sale Price",Featured,Weight,Length,Width,Height,SKU,"Sale Price Dates From","Sale Price Dates To",Price,"Sold IndivIDually","Manage Stock",Stock,Backorders,"Tax Status","Tax Class","Default Attributes","Total Sales","Product Version","Variation Description"
4816,"Poundcake fruit snack time 12x220 gm","Pound fruit cake 220 gm 12 pack",,"February 12, 2021",product,https://shop.ewdc.in/product/poundcake-fruit-snack-time-12x220-gm/,,,,,469.57,,469.57,469.57,,,,0,469.57,,469.57,469.57,,,,,,,,,,469.57,,469.57,469.57,,,,,,,,,,,[],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SNACK TIME",simple,visible,Snacks,Groceries,,,,,,,,,,,,,publish,1,color,,no,no,no,,instock,469.57,469.57,no,,,,,DRBAK0041,,,469.57,no,yes,4998,no,taxable,standard,a:0:{},2||2,5.0.0,
4817,"Poundcake vanilla snack time 12x220 gm","Pound vanilla cake 220 gm 12 pack",,"February 12, 2021",product,https://shop.ewdc.in/product/poundcake-vanilla-snack-time-12x220-gm/,,,,,469.57,,469.57,469.57,,,,0,469.57,,469.57,469.57,,,,,,,,,,469.57,,469.57,469.57,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SNACK TIME",simple,visible,Snacks,Groceries,,,,,,,,,,,,,publish,1,color,,no,no,no,,instock,469.57,469.57,no,,,,,DRBAK0042,,,469.57,no,yes,89,no,taxable,standard,a:0:{},2,5.0.0,
4818,"Sauce soya light he shun yuan 12 x 625ml","Sauce soya light  625ml 12 pack","A full bodied and dark reddish, brown sauce that has a rich aroma of fermented soya beans and a robust colour that will enchance the taste and appearance of food when used in stir fries, marinades, stews or as a dip
#fermented soya beans
#enchance the taste of food 
#rich aroma","February 12, 2021",product,https://shop.ewdc.in/product/sauce-soya-light-he-shun-yuan-12-x-625ml/,,,,,236,,236,236,,,,0,236,,236,236,,,,,,,,,,236,,236,236,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HE SHUN YUAN",simple,visible,"Seasoning sauces",Groceries,,,,,,,,,,,,,publish,1,color,,no,no,no,,instock,236,236,no,,,,,DRSAU0416,,,236,no,yes,128.68,no,taxable,standard,a:0:{},4,5.0.0,
4819,"Dates premium mubarak 600 gm",,"Package: Carton","March 9, 2021",product,https://shop.ewdc.in/product/dates-premium-mubarak-600-gm/,,[],,4819,50||50,nothing,300,200,default,,,,2||2,nothing,300,200,default,,,,,,,,,4||4,nothing,300,200,default,,,,,,Array,Array,4777,,[],,,,8,"{""commission_mode"":""global"",""commission_percent"":""90"",""commission_fixed"":"""",""tax_name"":"""",""tax_percent"":""""}",,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,MUBARAK,variable,visible,Snacks,Groceries,,https://shop.ewdc.in/wp-content/uploads/2020/12/MUBARAK.jpg,MUBARAK.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/MUBARAK.jpg,4777,MUBARAK,,,"Dates premium mubarak 600 gm",,,,publish,1,color,,no,no,no,,instock,300,200,no,,,,,98465006a8dc,,,200||200,no,no,,no,none,,a:0:{},3,5.0.0,
4820,"Cheese cheddar french bega 24 x 250 gm","Cheese cheddar french bega  250 gm 24 pack","Bega processed cheddar cheese slices, have a rich, cheesy flavour and are free from artificial colors and flavours. They come individually wrapped to stay fresh. With a smooth and creamy texture they are ideal for the entire family.","February 12, 2021",product,https://shop.ewdc.in/product/cheese-cheddar-french-bega-24-x-250-gm/,,,,,1334,,1334,1334,,,,0,1334,,1334,1334,,,,,,,,,,1334,,1334,1334,,,,,,,,,4780,,[],,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEGA,simple,visible,"Dairy egg &amp; cheeses",Groceries,,https://shop.ewdc.in/wp-content/uploads/2020/12/Bega-processed-cheddar-cheese-250g.png,Bega-processed-cheddar-cheese-250g.png,/home/shopewdc/public_html/wp-content/uploads/2020/12/Bega-processed-cheddar-cheese-250g.png,4780,Bega-processed-cheddar-cheese-250g,,,"Cheese cheddar french bega 24 x 250 gm",,,,publish,1,color,,no,no,no,,instock,1334,1334,no,,,,,CHCHE0130,,,1334,no,yes,153.5,no,taxable,standard,a:0:{},2,5.0.0,
4821,"Cheese tasty cheddar bega 24 x 250gm","Cheese cheddar tasty bega  250 gm 24 pack","Bega processed cheddar cheese slices, have a rich, cheesy flavour and are free from artificial colors and flavours. They come individually wrapped to stay fresh. With a smooth and creamy texture they are ideal for the entire family.","February 12, 2021",product,https://shop.ewdc.in/product/cheese-tasty-cheddar-bega-24-x-250gm/,,[],,,1147,,1147,1147,,,,0,1147,,1147,1147,,,,,,,,,,1147,,1147,1147,,,,,,,,,4780,,[],,,,1,"{""commission_mode"":""global"",""commission_percent"":""90"",""commission_fixed"":"""",""tax_name"":"""",""tax_percent"":""""}",,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,BEGA,simple,visible,"Dairy egg &amp; cheeses",Groceries,,https://shop.ewdc.in/wp-content/uploads/2020/12/Bega-processed-cheddar-cheese-250g.png,Bega-processed-cheddar-cheese-250g.png,/home/shopewdc/public_html/wp-content/uploads/2020/12/Bega-processed-cheddar-cheese-250g.png,4780,Bega-processed-cheddar-cheese-250g,,,"Cheese cheddar french bega 24 x 250 gm",,,,publish,1,color,,no,no,no,,instock,1147,1147,no,,,,,CHCHE0290,,,1147,no,yes,26.8,no,taxable,standard,a:0:{},0,5.0.0,
4822,"BAMBOO SKEWERS 10 INCH 80 PIECE","Bamboo skewers 10 inch 80 pcs","1 X 1 PACKET","February 12, 2021",product,https://shop.ewdc.in/product/bamboo-skewers-10-inch/,,[],,,9.57,manual,23,9.57,default,,,0,9.57,manual,11,9.57,default,,,,,,,,,9.57,manual,23,9.57,default,,,,,,,,5544,,[],,,,1,"{""commission_mode"":""global"",""commission_percent"":""90"",""commission_fixed"":"""",""tax_name"":"""",""tax_percent"":""""}",,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,GENERIC,simple,visible,"Cleaning &amp; Household","BAMBOO,NONFOOD,SKEWERS",,https://shop.ewdc.in/wp-content/uploads/2021/03/AMBAM0027-1.jpg,AMBAM0027-1.jpg,/home/shopewdc/public_html/wp-content/uploads/2021/03/AMBAM0027-1.jpg,5544,"AMBAM0027 - 1",,,,,,,publish,17,color,,no,no,no,,instock,11,9.57,no,,,,,AMBAM0027,,,9.57,no,yes,101.2,no,taxable,standard,a:0:{},0,5.1.0,
4833,"Atlas beer mega strong (16%) 24x500ml","Atlas 16 mega strong beer 500ml 6pack","Atlas 16 copper colored beer with the aroma of honey. It has a full and sizzling flavor and aftertaste.?
Buy atlas 16%?online @shop.Ewdc.In and have it delivered within an hour after confirming your order.
Enjoy fast alcohol delivery and the best prices in seychelles 

Brand: atlas
Country of origin: netherlands
Volume (ml):500ml
Alcohol content (abv):16%","February 12, 2021",product,https://shop.ewdc.in/product/atlas-beer-mega-strong-16-24x500ml/,,[],,,1560,,1565,1560,,,,,1560,,1565,1560,,,,,,,,,,1560,,1565,1560,,,,,,,,,4775,,,,,,5,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,simple,visible,"Alcholic drink,Beer","Imported beer",,https://shop.ewdc.in/wp-content/uploads/2020/12/atlas-mega-strong.jpg,atlas-mega-strong.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/atlas-mega-strong.jpg,4775,atlas-mega-strong,,,,,,,publish,1,color,,no,no,no,,instock,1565,1560,,,,,,DRBER0052,,,1560,no,yes,1845,no,taxable,standard,a:0:{},0,5.0.0,
4834,"Hd garbage bag hotpack (65x95cm) 30x20pcs","Hd garbage bag hotpack (65x95cm)","? great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. 
? provides large capacity and maximum resistance to punctures and tears 
? made with strong flex material designed to resist rips and tears even with maximum loads","February 12, 2021",product,https://shop.ewdc.in/product/hd-garbage-bag-hotpack-65x95cm-30x20pcs/,,[],,4834,713.04,,713.04,,,,,,713.04,,713.04,,,,,,,,,,,713.04,,713.04,,,,,,,,,,4767,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,visible,Cleaning,"Home Care &amp; Cleaning",,https://shop.ewdc.in/wp-content/uploads/2020/12/41t40u6aUeL__AC_SY400_.jpg,41t40u6aUeL__AC_SY400_.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/41t40u6aUeL__AC_SY400_.jpg,4767,41t40u6aUeL__AC_SY400_,,,,,,,publish,1,color,,no,no,no,,instock,713.04,,,,,,,AMBAG0173,,,713.04,no,yes,39,no,taxable,standard,a:0:{},0,5.0.0,
4835,"Blitz insect killer crown 48 x 400 ml","Blitz insect killer crown 400 ml","?kills on contact.
?use indoors and outdoors.
?powerful and effective to kill mosquitoes, flies, cockroaches, bugs ans other insects.
?suitable to be use in household, hotels and restaurants.
?made of high-graded raw materials.
","February 12, 2021",product,https://shop.ewdc.in/product/blitz-insect-killer-crown-48-x-400-ml/,,[],,4835,1488.7,,1488.7,,,,,,1488.7,,1488.7,,,,,,,,,,,1488.7,,1488.7,,,,,,,,,,4769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,visible,Hygiene,"Insect &amp; Pest Control",,https://shop.ewdc.in/wp-content/uploads/2020/12/DSC04355-min-1.png,DSC04355-min-1.png,/home/shopewdc/public_html/wp-content/uploads/2020/12/DSC04355-min-1.png,4769,DSC04355-min-1,,,,,,,publish,1,color,,no,no,no,,instock,1488.7,,,,,,,AMPES0002,,,1488.7,no,yes,9,no,taxable,standard,a:0:{},0,5.0.0,
