ID,Title,Content,Excerpt,Date,"Post Type",Permalink,_catalog,_fixed_price_rules,_has_multi_selling,_is_multi_parent,_la-digue_price,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_la-digue_sale_price_dates,_la-digue_sale_price_dates_from,_la-digue_sale_price_dates_to,_low_stock_amount,_mahe_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_mahe_sale_price_dates,_mahe_sale_price_dates_from,_mahe_sale_price_dates_to,_max_variation_price,_max_variation_regular_price,_max_variation_sale_price,_min_variation_price,_min_variation_regular_price,_min_variation_sale_price,_praslin_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,_praslin_sale_price_dates,_praslin_sale_price_dates_from,_praslin_sale_price_dates_to,_product_video_autoplay,_product_video_code,_product_video_gallery,_sale_price_time_end,_sale_price_time_start,_thumbnail_id,_tiered_price_rules_type,_upsell_skus,_wcfm_new_product_notified,_wcfm_product_approved_notified,_wcfm_product_author,_wcfm_product_views,_wcfmmp_commission,_wcfmmp_processing_time,_wcmp_cancallation_policy,_wcmp_refund_policy,_wcmp_shipping_policy,_wcmp_spmv_map_id,_wcmp_spmv_product,_woo_uom_input,_wp_desired_post_slug,_wp_old_slug,_wp_page_template,_wp_trash_meta_comments_status,_wp_trash_meta_status,_wp_trash_meta_time,_wpnotif_newsletter_created,b2bking_category_users_textarea,b2bking_group_0,b2bking_group_3799,b2bking_group_3800,b2bking_group_b2c,b2bking_product_customrows_group_3799,b2bking_product_customrows_group_3800,b2bking_product_customrows_group_b2c,b2bking_product_pricetiers_group_3799,b2bking_product_pricetiers_group_3800,b2bking_product_pricetiers_group_b2c,b2bking_product_visibility_override,b2bking_regular_product_price_group_3799,b2bking_regular_product_price_group_3800,b2bking_sale_product_price_group_3799,b2bking_sale_product_price_group_3800,b2bking_show_information_table,price1,price2,rs_page_bg_color,Brands,"Product Type","Product Visibility","Product categories","Product tags","Product shipping classes","Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text","Attachment URL","Attachments Filename","Attachments Path",Status,"Author ID","Attribute Name (color)","Attribute Value (color)","Attribute In Variations (color)","Attribute Is Visible (color)","Attribute Is Taxonomy (color)","Attribute Position (color)","Stock Status","Regular Price","Sale Price",Featured,Weight,Length,Width,Height,SKU,"Sale Price Dates From","Sale Price Dates To",Price,"Sold IndivIDually","Manage Stock",Stock,Backorders,"Tax Status","Tax Class","Default Attributes","Total Sales","Product Version","Variation Description"
960,"Wooden Classical Chairs","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 7, 2020",product,https://shop.ewdc.in/product/wooden-classical-golden-chairs__trashed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,,,,,,39,,,,,,1,1,,wooden-classical-golden-chairs,,default,"a:1:{i:6;s:1:""1"";}",publish,1613132912,,,,,,,,,,,,,,,,,,,,,,Friboi,simple,visible,"Groceries,Sale","Samsung,Store,T-Shirt,Television",,https://shop.ewdc.in/wp-content/uploads/2020/12/7-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg,7-2.jpg||9-1.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/7-2.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/9-1.jpg,961||957,7||9,,,,,,,trash,3,color,,no,no,no,,instock,405,375,,,,,,12345,,,375,no,yes,188.000000,no,taxable,standard,,0,4.8.0,
1046,"Air Fryer with DualZone","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 7, 2020",product,https://shop.ewdc.in/product/air-fryer-with-dualzone__trashed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949,,,,,,,,,,,,15,1,,air-fryer-with-dualzone,wooden-classical-golden-chairs-2,default,"a:1:{i:7;s:1:""1"";}",publish,1613132912,,,,,,,,,,,,,,,,,,,,,,"Acqua Panna,Fletcher,Friboi,Kraft,Nestle,Paderno",simple,visible,"Accessories,All Appliances,Apparels,Automation,Beauty,Cameras,Children,Clothings,Computer,Console,Electronics,Fashion,Furniture,Furniture Set,Gaming Console,Gedgets,Groceries,Kitchen,Medical Items,Mobile &amp; Tablet,PC &amp; Laptop,Speakers,Sport,TV &amp; Monitor","Ecommercsing,Electronics",,https://shop.ewdc.in/wp-content/uploads/2020/12/4-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/2-2.jpg,4-2.jpg||2-2.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/4-2.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/2-2.jpg,949||951,4||2,,,,,,,trash,3,color,,no,no,no,,instock,300,,,,,,,12345-1,,,300,no,yes,186,no,taxable,standard,,3,4.8.0,
1047,"Classical Chair","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 7, 2020",product,https://shop.ewdc.in/product/wooden-classical-golden-chairs-2__trashed/,,a:0:{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,,,,yes,,7,"a:5:{s:15:""commission_mode"";s:6:""global"";s:18:""commission_percent"";s:2:""90"";s:16:""commission_fixed"";s:0:"""";s:8:""tax_name"";s:0:"""";s:11:""tax_percent"";s:0:"""";}",,,,,,,,wooden-classical-golden-chairs-2,,default,"a:1:{i:8;s:1:""1"";}",publish,1613132912,,,,,,,,,,,,,,,,,,,,,,"Acqua Panna",simple,visible,"Accessories,Children,Electronics,Groceries",,,https://shop.ewdc.in/wp-content/uploads/2020/12/2-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/4-2.jpg,2-2.jpg||9-1.jpg||4-2.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/2-2.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/9-1.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/4-2.jpg,951||957||949,2||9||4,,,,,,,trash,3,color,,no,no,no,,instock,905,,,,,,,12345-2,,,905,no,yes,186,no,taxable,standard,,4,5.0.0,
1048,"Stainless Steel Freing","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 7, 2020",product,https://shop.ewdc.in/product/stainless-steel-freing__trashed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,,,,,4,,,,,,24,1,,stainless-steel-freing,,default,"a:1:{i:9;s:1:""1"";}",publish,1613132912,,,,,,,,,,,,,,,,,,,,,,Nestle,simple,visible,"Accessories,Cameras,Electronics,Groceries,Sale,TV &amp; Monitor","Medical,Monocrome,New Product,Nokia",,https://shop.ewdc.in/wp-content/uploads/2020/12/1-3.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/3-2.jpg,1-3.jpg||3-2.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/1-3.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/3-2.jpg,950||952,1||3,,,,,,,trash,3,color,,no,no,no,,instock,705,545,,,,,,12345-3,,,545,no,yes,188.000000,no,taxable,standard,,0,4.8.0,
1061,"Fryer with DualZone","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 7, 2020",product,https://shop.ewdc.in/product/fryer-with-dualzone__trashed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,,,,,,4,,,,,,20,1,,fryer-with-dualzone,,default,"a:1:{i:10;s:1:""1"";}",publish,1613132911,,,,,,,,,,,,,,,,,,,,,,Paderno,simple,visible,"Accessories,Cameras,Electronics,Sale,TV &amp; Monitor","Apparels,Beef,Chair",,https://shop.ewdc.in/wp-content/uploads/2020/12/3-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/1-3.jpg,3-2.jpg||1-3.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/3-2.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/1-3.jpg,952||950,3||1,,,,,,,trash,3,color,,no,no,no,,instock,305,206,,,,,,12345-3-1,,,206,no,yes,186,no,taxable,standard,,2,4.9.2,
1085,"Xanna Note","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 8, 2020",product,https://shop.ewdc.in/product/xanna-note__trashed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,,,9,1,,xanna-note,,default,"a:1:{i:11;s:1:""1"";}",publish,1613132911,,,,,,,,,,,,,,,,,,,,,,Kraft,simple,visible,"Accessories,Apparels,Cameras,Electronics,Furniture,TV &amp; Monitor","Apparels,Beef,Tupperwear",,https://shop.ewdc.in/wp-content/uploads/2020/12/5-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/1-3.jpg,5-2.jpg||1-3.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/5-2.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/1-3.jpg,953||950,5||1,,,,,,,trash,3,color,,no,no,no,,instock,505,,,,,,,12345-3-1-1,,,505,no,yes,188.000000,no,taxable,standard,,0,4.8.0,
1092,"New product","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 8, 2020",product,https://shop.ewdc.in/product/new-product__trashed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,700,954,,,,,,,,,,,,7,1,,new-product,xanna-note-2,default,"a:1:{i:12;s:1:""1"";}",publish,1613132931,,,,,,,,,,,,,,,,,,,,,,Nestle,simple,visible,"Accessories,Apparels,Cameras,Electronics,Sale,TV &amp; Monitor","Apparels,Beef,Tupperwear",,https://shop.ewdc.in/wp-content/uploads/2020/12/6-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg,6-2.jpg||9-1.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/6-2.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/9-1.jpg,954||957,6||9,,,,,,,trash,3,color,,no,no,no,,instock,690,580,,,,,,12345-3-1-1-1,,,580,no,yes,188.000000,no,taxable,standard,,0,4.8.0,
1093,"Computer Wire","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 8, 2020",product,https://shop.ewdc.in/product/computer-wire__trashed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956,,,,,,,,,,,,5,1,,computer-wire,xanna-note-2,default,"a:1:{i:13;s:1:""1"";}",publish,1613132931,,,,,,,,,,,,,,,,,,,,,,Friboi,simple,visible,"Accessories,Apparels,Cameras,Electronics,Furniture,TV &amp; Monitor","Apparels,Electronics",,https://shop.ewdc.in/wp-content/uploads/2020/12/8-1.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg,8-1.jpg||9-1.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/8-1.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/9-1.jpg,956||957,8||9,,,,,,,trash,3,color,,no,no,no,,instock,390,,,,,,,12345-3-1-1-2,,,390,no,yes,187,no,taxable,standard,,1,4.8.0,
1094,"Xanna Note","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 8, 2020",product,https://shop.ewdc.in/product/xanna-note-3__trashed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,,,,,,14,,,,,,11,1,,xanna-note-3,,default,"a:1:{i:14;s:1:""1"";}",publish,1613132931,,,,,,,,,,,,,,,,,,,,,,Fletcher,simple,visible,"Accessories,Apparels,Cameras,Electronics,Sale,Speakers,Sport,TV &amp; Monitor","Apparels,Beef,Tupperwear",,https://shop.ewdc.in/wp-content/uploads/2020/12/10-1.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/8-1.jpg,10-1.jpg||8-1.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/10-1.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/8-1.jpg,958||956,10||8,,,,,,,trash,3,color,,no,no,no,,instock,900,805,,,,,,12345-3-1-1-3,,,805,no,yes,188.000000,no,taxable,standard,,0,4.8.0,
1095,"Xanna Note","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>","December 8, 2020",product,https://shop.ewdc.in/product/xanna-note-4__trashed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,,,,,,,,,,,,13,1,,xanna-note-4,,default,"a:1:{i:15;s:1:""1"";}",publish,1613132931,,,,,,,,,,,,,,,,,,,,,,Fletcher,simple,visible,"Accessories,Apparels,Cameras,Electronics,TV &amp; Monitor","Apparels,Beef,Tupperwear",,https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/8-1.jpg,9-1.jpg||8-1.jpg,/home/shopewdc/public_html/wp-content/uploads/2020/12/9-1.jpg||/home/shopewdc/public_html/wp-content/uploads/2020/12/8-1.jpg,957||956,9||8,,,,,,,trash,3,color,,no,no,no,,instock,905,,,,,,,12345-3-1-1-4,,,905,no,yes,188.000000,no,taxable,standard,,0,4.8.0,
