ID,Title,Content,Excerpt,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product categories,Product tags,Product shipping classes,Image URL,Images Filename,Images Path,Images ID,Images Title,Images Caption,Images Description,Images Alt Text,Attachment URL,Attachments Filename,Attachments Path,Attachments ID,Attachments Title,Attachments Caption,Attachments Description,Attachments Alt Text,Slug,Attribute Name (Packages),Attribute Value (Packages),Attribute In Variations (Packages),Attribute Is Visible (Packages),Attribute Is Taxonomy (Packages),Attribute Position (Packages),Visibility,Stock Status,Regular Price,Sale Price,Featured,Weight,Length,Width,Height,SKU,Price,Manage Stock,Stock,Tax Status,Tax Class,Default Attributes
4816,Poundcake fruit snack time 12x220 gm,Pound fruit cake 220 gm 12 pack,,manually,236,469.57,manually,108,469.57,manually,469.57,469.57,SNACK TIME,simple,Snacks,Groceries,,,,,,,,,,,,,,,,,,poundcake-fruit-snack-time-12x220-gm,packages,,no,no,yes,,visible,instock,469.57,469.57,no,,,,,DRBAK0041,469.57,no,,none,,a:0:{}
4817,Poundcake vanilla snack time 12x220 gm,Pound vanilla cake 220 gm 12 pack,,manually,236,469.57,manually,108,469.57,manually,469.57,469.57,SNACK TIME,simple,Snacks,Groceries,,,,,,,,,,,,,,,,,,poundcake-vanilla-snack-time-12x220-gm,packages,,no,no,yes,,visible,instock,469.57,469.57,no,,,,,DRBAK0042,469.57,no,,none,,a:0:{}
4818,Sauce soya light he shun yuan 12 x 625ml,Sauce soya light  625ml 12 pack,,manually,236,236,manually,108,236,manually,469.57,236,HE SHUN YUAN,simple,Seasoning sauces,Groceries,,,,,,,,,,,,,,,,,,sauce-soya-light-he-shun-yuan-12-x-625ml,packages,,no,no,yes,,visible,instock,236,236,no,,,,,DRSAU0416,236,no,,none,,a:0:{}
4820,Cheese cheddar french bega 24 x 250 gm,Cheese cheddar french bega  250 gm 24 pack,,manually,236,1334,manually,108,1334,manually,469.57,1334,BEGA,simple,Dairy egg &amp; cheeses,Groceries,,,,,,,,,,,,,,,,,,cheese-cheddar-french-bega-24-x-250-gm,packages,,no,no,yes,,visible,instock,1334,1334,no,,,,,CHCHE0130,1334,no,,none,,a:0:{}
4821,Cheese tasty cheddar bega 24 x 250gm,Cheese cheddar tasty bega  250 gm 24 pack,,manually,236,1147,manually,108,1147,manually,469.57,1147,BEGA,simple,Dairy egg &amp; cheeses,Groceries,,,,,,,,,,,,,,,,,,cheese-tasty-cheddar-bega-24-x-250gm,packages,,no,no,yes,,visible,instock,1147,1147,no,,,,,CHCHE0290,1147,no,,none,,a:0:{}
4822,BAMBOO SKEWERS 10 INCH 80 PIECE,Bamboo skewers 10 inch 80 pcs,,manually,236,9.57,manually,108,9.57,manually,469.57,9.57,GENERIC,simple,Cleaning &amp; Household,"BAMBOO,NONFOOD,SKEWERS",,,,,,,,,,,,,,,,,,bamboo-skewers-10-inch-80-piece,packages,,no,no,yes,,visible,instock,11,9.57,no,,,,,AMBAM0027,9.57,no,,none,15,a:0:{}
4833,Atlas beer mega strong (16%) 24x500ml,Atlas 16 mega strong beer 500ml 6pack,,manually,236,1560,manually,108,1560,manually,469.57,1560,,simple,"Alcholic drink,Beer",Imported beer,,,,,,,,,,,,,,,,,,atlas-beer-mega-strong-16-24x500ml,packages,,no,no,yes,,,instock,1565,1560,,,,,,DRBER0052,1560,no,,none,,a:0:{}
4834,Hd garbage bag hotpack (65x95cm) 30x20pcs,Hd garbage bag hotpack (65x95cm),,manually,236,,manually,108,,manually,469.57,,,simple,Cleaning,Home Care &amp; Cleaning,,,,,,,,,,,,,,,,,,hd-garbage-bag-hotpack-65x95cm-30x20pcs,packages,,no,no,yes,,,instock,713.04,,,,,,,AMBAG0173,713.04,no,,none,,a:0:{}
4835,Blitz insect killer crown 48 x 400 ml,Blitz insect killer crown 400 ml,,manually,236,,manually,108,,manually,469.57,,,simple,Hygiene,Insect &amp; Pest Control,,,,,,,,,,,,,,,,,,blitz-insect-killer-crown-48-x-400-ml,packages,,no,no,yes,,,instock,1488.7,,,,,,,AMPES0002,1488.7,no,,none,,a:0:{}
4839,Antiseptic liquid savlon 24x200ml,"""Give yourself and your family complete protection with the savlon antiseptic liquid that is an all-round wound care liquid trusted by doctors. Its special formula is effective in cleaning and disinfecting wounds and has healing properties. Bring home this antiseptic liquid that provides effective protection against germs and is the most trusted disinfection and wound healing antiseptic liquid used at home, hospitals, etc. 

Key benefits/uses:
An effective disinfectant solution that kills 99.9% of germs.
Safe wound care antiseptic liquid that heals gently.
Used at home and hospitals and is trusted by doctors.

Direction for use/dosage:
Has a strong formula; dilute before using.
Read the label for usage instructions.

Safety information:
For external use only; don’t swallow the liquid.
Check for an expiration date before use.
Keep it out of reach of children.
Store it in a cool and dry place
""
",,manually,236,,manually,108,,manually,469.57,,SAVLON,simple,Hygiene,Health &amp; Personal Care,,,,,,,,,,,,,,,,,,antiseptic-liquid-savlon-24x200ml,packages,,no,no,yes,,,instock,875,,,,,,,AMHYG0419,875,no,,none,,a:0:{}
4841,Antiseptic liquid savlon 24x500ml,"""Give yourself and your family complete protection with the savlon antiseptic liquid that is an all-round wound care liquid trusted by doctors. Its special formula is effective in cleaning and disinfecting wounds and has healing properties. Bring home this antiseptic liquid that provides effective protection against germs and is the most trusted disinfection and wound healing antiseptic liquid used at home, hospitals, etc. 

Key benefits/uses:
An effective disinfectant solution that kills 99.9% of germs.
Safe wound care antiseptic liquid that heals gently.
Used at home and hospitals and is trusted by doctors.

Direction for use/dosage:
Has a strong formula; dilute before using.
Read the label for usage instructions.

Safety information:
For external use only; don’t swallow the liquid.
Check for an expiration date before use.
Keep it out of reach of children.
Store it in a cool and dry place""
",,manually,236,,manually,108,,manually,469.57,,SAVLON,simple,Savlon,Health &amp; Personal Care,,,,,,,,,,,,,,,,,,antiseptic-liquid-savlon-24x500ml,packages,,no,no,yes,,,instock,1785,,,,,,,AMHYG0418,1785,no,,none,,a:0:{}
4843,Yoghurt plain pascual 24x125ml,"""Enjoy a deliciously creamy yogurt.

Pascual’s creamy yogurt is a super smooth yogurt featuring delicious fruit combinations.
""
",,manually,236,,manually,108,,manually,469.57,,PASCUAL,simple,Dairy egg &amp; cheeses,Grocery,,,,,,,,,,,,,,,,,,yoghurt-plain-pascual-24x125ml,packages,,no,no,yes,,,instock,229.7,,,,,,,DRYOG0025,229.7,no,,none,,a:0:{}
4845,Cheese sandwich slices president 36 x 200 gm,"""President sandwich cheese slices is a soft, mild-tasting fresh cheese made from milk, it can be mixed with other ingredients, such as yogurt or pepper jelly, to make spreads. They make a perfect accompaniment for your sandwiches and burgers and can also be added to pasta and noodles for a cheesy zing.
Product features:  
•brand: president
•size: 200 g
•packaging: pouch
•details: rich in calcium, it also proves to be an excellent source of daily nutrition
•individually packed, they're fun for the whole family
""
",,manually,236,,manually,108,,manually,469.57,,PRESIDENT,simple,Dairy egg &amp; cheeses,Grocery,,,,,,,,,,,,,,,,,,cheese-sandwich-slices-president-36-x-200-gm,packages,,no,no,yes,,,instock,1352,,,,,,,CHCHE0311,1352,no,,none,,a:0:{}
