ID,Title,Content,Excerpt,Date,Post Type,Permalink,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product Visibility,Product categories,Product tags,Status,Attribute Name (color),Attribute Value (color),Attribute In Variations (color),Attribute Is Visible (color),Attribute Is Taxonomy (color),Attribute Position (color),Stock Status,Regular Price,Sale Price,SKU,Manage Stock,Stock,Backorders,Tax Status,Tax Class
4816,Poundcake fruit snack time 12x220 gm,Pound fruit cake 220 gm 12 pack,,12-Feb-21,product,https://shop.ewdc.in/product/poundcake-fruit-snack-time-12x220-gm/,manual,469.57,469.57,manual,469.57,469.57,manual,469.57,469.57,SNACK TIME,simple,visible,Snacks,Groceries,publish,color,,no,no,no,,instock,469.57,469.57,DRBAK0041,yes,4998,no,taxable,standard
4817,Poundcake vanilla snack time 12x220 gm,Pound vanilla cake 220 gm 12 pack,,12-Feb-21,product,https://shop.ewdc.in/product/poundcake-vanilla-snack-time-12x220-gm/,manual,469.57,469.57,manual,469.57,469.57,manual,469.57,469.57,SNACK TIME,simple,visible,Snacks,Groceries,publish,color,,no,no,no,,instock,469.57,469.57,DRBAK0042,yes,89,no,taxable,standard
4818,Sauce soya light he shun yuan 12 x 625ml,Sauce soya light  625ml 12 pack,"A full bodied and dark reddish, brown sauce that has a rich aroma of fermented soya beans and a robust colour that will enchance the taste and appearance of food when used in stir fries, marinades, stews or as a dip
#fermented soya beans
#enchance the taste of food 
#rich aroma",12-Feb-21,product,https://shop.ewdc.in/product/sauce-soya-light-he-shun-yuan-12-x-625ml/,manual,236,236,manual,236,236,manual,236,236,HE SHUN YUAN,simple,visible,Seasoning sauces,Groceries,publish,color,,no,no,no,,instock,236,236,DRSAU0416,yes,128.68,no,taxable,standard
4819,Dates premium mubarak 600 gm,,Package: Carton,9-Mar-21,product,https://shop.ewdc.in/product/dates-premium-mubarak-600-gm/,manual,300,200,manual,300,200,manual,300,200,MUBARAK,variable,visible,Snacks,Groceries,publish,color,,no,no,no,,instock,300,200,98465006a8dc,no,,no,none,
4820,Cheese cheddar french bega 24 x 250 gm,Cheese cheddar french bega  250 gm 24 pack,"Bega processed cheddar cheese slices, have a rich, cheesy flavour and are free from artificial colors and flavours. They come individually wrapped to stay fresh. With a smooth and creamy texture they are ideal for the entire family.",12-Feb-21,product,https://shop.ewdc.in/product/cheese-cheddar-french-bega-24-x-250-gm/,manual,1334,1334,manual,1334,1334,manual,1334,1334,BEGA,simple,visible,Dairy egg &amp; cheeses,Groceries,publish,color,,no,no,no,,instock,1334,1334,CHCHE0130,yes,153.5,no,taxable,standard
4821,Cheese tasty cheddar bega 24 x 250gm,Cheese cheddar tasty bega  250 gm 24 pack,"Bega processed cheddar cheese slices, have a rich, cheesy flavour and are free from artificial colors and flavours. They come individually wrapped to stay fresh. With a smooth and creamy texture they are ideal for the entire family.",12-Feb-21,product,https://shop.ewdc.in/product/cheese-tasty-cheddar-bega-24-x-250gm/,manual,1147,1147,manual,1147,1147,manual,1147,1147,BEGA,simple,visible,Dairy egg &amp; cheeses,Groceries,publish,color,,no,no,no,,instock,1147,1147,CHCHE0290,yes,26.8,no,taxable,standard
4822,BAMBOO SKEWERS 10 INCH 80 PIECE,Bamboo skewers 10 inch 80 pcs,1 X 1 PACKET,12-Feb-21,product,https://shop.ewdc.in/product/bamboo-skewers-10-inch/,manual,23,9.57,manual,11,9.57,manual,23,9.57,GENERIC,simple,visible,Cleaning &amp; Household,"BAMBOO,NONFOOD,SKEWERS",publish,color,,no,no,no,,instock,11,9.57,AMBAM0027,yes,101.2,no,taxable,standard
4833,Atlas beer mega strong (16%) 24x500ml,Atlas 16 mega strong beer 500ml 6pack,"Atlas 16 copper colored beer with the aroma of honey. It has a full and sizzling flavor and aftertaste.?
Buy atlas 16%?online @shop.Ewdc.In and have it delivered within an hour after confirming your order.
Enjoy fast alcohol delivery and the best prices in seychelles 

Brand: atlas
Country of origin: netherlands
Volume (ml):500ml
Alcohol content (abv):16%",12-Feb-21,product,https://shop.ewdc.in/product/atlas-beer-mega-strong-16-24x500ml/,manual,1565,1560,manual,1565,1560,manual,1565,1560,,simple,visible,"Alcholic drink,Beer",Imported beer,publish,color,,no,no,no,,instock,1565,1560,DRBER0052,yes,1845,no,taxable,standard
4834,Hd garbage bag hotpack (65x95cm) 30x20pcs,Hd garbage bag hotpack (65x95cm),"? great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. 
? provides large capacity and maximum resistance to punctures and tears 
? made with strong flex material designed to resist rips and tears even with maximum loads",12-Feb-21,product,https://shop.ewdc.in/product/hd-garbage-bag-hotpack-65x95cm-30x20pcs/,manual,713.04,,manual,713.04,,manual,713.04,,,simple,visible,Cleaning,Home Care &amp; Cleaning,publish,color,,no,no,no,,instock,713.04,,AMBAG0173,yes,39,no,taxable,standard
4835,Blitz insect killer crown 48 x 400 ml,Blitz insect killer crown 400 ml,"?kills on contact.
?use indoors and outdoors.
?powerful and effective to kill mosquitoes, flies, cockroaches, bugs ans other insects.
?suitable to be use in household, hotels and restaurants.
?made of high-graded raw materials.
",12-Feb-21,product,https://shop.ewdc.in/product/blitz-insect-killer-crown-48-x-400-ml/,manual,1488.7,,manual,1488.7,,manual,1488.7,,,simple,visible,Hygiene,Insect &amp; Pest Control,publish,color,,no,no,no,,instock,1488.7,,AMPES0002,yes,9,no,taxable,standard
