ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_packages)","Attribute Value (pa_packages)","Attribute In Variations (pa_packages)","Attribute Is Visible (pa_packages)","Attribute Is Taxonomy (pa_packages)","Shipping Class",URL,Title,Caption,Description,"Alt Text",Featured,URL,Brands,"Product Type","Product visibility","Product categories","Product tags","Product Visibility",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating",Children,_visibility,_upsell_skus,_crosssell_skus,_file_path,_file_paths,_mahe_price,_mahe_regular_price,_mahe_sale_price,_praslin_price,_praslin_regular_price,_praslin_sale_price,_la-digue_price,_la-digue_regular_price,_la-digue_sale_price,_wcfm_product_views,_wp_old_date,_mahe_price_method,_mahe_sale_price_dates,_mahe_sale_price_dates_from,_mahe_sale_price_dates_to,_praslin_price_method,_praslin_sale_price_dates,_praslin_sale_price_dates_from,_praslin_sale_price_dates_to,_la-digue_price_method,_la-digue_sale_price_dates,_la-digue_sale_price_dates_from,_la-digue_sale_price_dates_to,manually,236,469.57,108,1334,_wp_page_template,onesignal_meta_box_present,onesignal_send_notification,onesignal_modify_title_and_content,onesignal_notification_custom_heading,onesignal_notification_custom_content,rs_page_bg_color,_product_video_gallery,_product_video_code,_product_video_autoplay,_fixed_price_rules,_sale_price_time_start,_sale_price_time_end,_wcfmmp_commission,_et_single_layout,_et_single_thumbnail_hover,_et_product_view_hover,_et_product_view_color,_et_additional_block,_et_sale_counter,_et_product_slider,_et_primary_category,1147,_wp_old_slug,9.57,1560,_is_multi_parent,_wcfm_product_approved_notified,_catalog,disable_add_to_cart,disable_price,_wcfmmp_processing_time,_tiered_price_rules_type,wcfm_policy_product_options,_wcfm_new_product_notified,price1,price2,_has_multi_selling,_wcfm_product_author,25,_heateor_sss_meta,_elementor_edit_mode,_elementor_template_type,_elementor_version,_wp_trash_meta_status,_wp_trash_meta_time
6265,"CHEESE PANEER AMUL 200 GM",,"1 X 1 PACKET","2021-04-01 08:35:27",product,https://shop.ewdc.in/product/cheese-paneer-amul-200-gm/,0,CHCHE0090,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/CHCHE0090-1-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/CHCHE0090-2.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/CHCHE0090-1.jpg,"CHCHE0090 -1|CHCHE0090 -2|CHCHE0090 -1",||,||,||,https://shop.ewdc.in/wp-content/uploads/2021/04/CHCHE0090-1-1.jpg,,AMUL,simple,visible,"Dairy Products",PANEER,visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,cheese-paneer-amul-200-gm,,default,0,0,open,closed,"2021-04-01 09:24:20",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,0,6267,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6268,"CHEESE AMUL 1 KG",,"1 X 1 PACKET","2021-04-01 08:35:29",product,https://shop.ewdc.in/product/cheese-amul-1-kg/,0,CHCHE0229,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/CHCHE0229-2-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/CHCHE0229-2.jpg,"CHCHE0229 -2|CHCHE0229 -2",|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/CHCHE0229-2-1.jpg,,AMUL,simple,visible,"Dairy Products",CHEESE,visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,cheese-amul-1-kg,,default,0,0,open,closed,"2021-04-01 09:24:21",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,0,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,1,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6270,"MEAT TENDERIZER BAYARA 330 ML",,"1 X 1 PIECE","2021-04-01 08:35:32",product,https://shop.ewdc.in/product/meat-tenderizer-bayara-330-ml/,0,DRSPC0043,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/DRSPC0043-1-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/DRSPC0043-2.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/DRSPC0043-1.jpg,"DRSPC0043 -1|DRSPC0043 -2|DRSPC0043 -1",||,||,||,https://shop.ewdc.in/wp-content/uploads/2021/04/DRSPC0043-1-1.jpg,,BAYARA,simple,visible,"Grocery &amp; Food Cupboard","MEAT, TENDRIZER",visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,meat-tenderizer-bayara-330-ml,,default,0,0,open,closed,"2021-04-01 09:24:24",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,15,6272,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,1,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6273,"THYME BAYARA 330 ML",,"1 X 1 PIECE","2021-04-01 08:35:34",product,https://shop.ewdc.in/product/thyme-bayara-330-ml/,0,DRSPC0047,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/DRSPC0047-1-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/DRSPC0047-1.jpg,"DRSPC0047 -1|DRSPC0047 -1",|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/DRSPC0047-1-1.jpg,,BAYARA,simple,visible,"Grocery &amp; Food Cupboard","BAYARA, THYME",visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,thyme-bayara-330-ml,,default,0,0,open,closed,"2021-04-01 09:24:24",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,15,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6275,"POWDER PEPPER BLACK BAYARA 330 ML",,"1 X 1 PIECE","2021-04-01 08:35:35",product,https://shop.ewdc.in/product/powder-pepper-black-bayara-330-ml/,0,DRPOW0097,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0097-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0097.jpg,DRPOW0097|DRPOW0097,|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0097-1.jpg,,BAYARA,simple,visible,"Grocery &amp; Food Cupboard","PEPPER, POWDER",visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,powder-pepper-black-bayara-330-ml,,default,0,0,open,closed,"2021-04-01 09:24:25",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,15,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6277,"POWDER CINNAMON BAYARA 330 ML",,"1 X 1 PIECE","2021-04-01 08:35:36",product,https://shop.ewdc.in/product/powder-cinnamon-bayara-330-ml/,0,DRPOW0099,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0099-1-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0099-1.jpg,"DRPOW0099 -1|DRPOW0099 -1",|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0099-1-1.jpg,,BAYARA,simple,visible,"Grocery &amp; Food Cupboard","CINNAMON, POWDER",visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,powder-cinnamon-bayara-330-ml,,default,0,0,open,closed,"2021-04-01 09:24:26",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,15,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,1,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6279,"POWDER GINGER BAYARA 330 ML",,"1 X 1 PIECE","2021-04-01 08:35:37",product,https://shop.ewdc.in/product/powder-ginger-bayara-330-ml/,0,DRPOW0123,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0123-1-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0123-1.jpg,"DRPOW0123 -1|DRPOW0123 -1",|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0123-1-1.jpg,,BAYARA,simple,visible,"Grocery &amp; Food Cupboard","GINGER, POWDER",visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,powder-ginger-bayara-330-ml,,default,0,0,open,closed,"2021-04-01 09:24:27",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,15,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6281,"POWDER PAPRIKA BAYARA 330 ML",,"1 X 1 PIECE","2021-04-01 08:35:38",product,https://shop.ewdc.in/product/powder-paprika-bayara-330-ml/,0,DRPOW0124,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0124-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0124.jpg,DRPOW0124|DRPOW0124,|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0124-1.jpg,,BAYARA,simple,visible,"Grocery &amp; Food Cupboard","PAPRIKA, POWDER",visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,powder-paprika-bayara-330-ml,,default,0,0,open,closed,"2021-04-01 09:24:28",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,15,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6283,"MASALA BIRYANI BAYARA 330ML",,"1 X 1 PIECE","2021-04-01 08:35:38",product,https://shop.ewdc.in/product/masala-biryani-bayara-330ml/,0,DRPOW0341,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0341-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0341.jpg,DRPOW0341|DRPOW0341,|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0341-1.jpg,,BAYARA,simple,visible,"Grocery &amp; Food Cupboard","BIRYANI, MASALA",visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,masala-biryani-bayara-330ml,,default,0,0,open,closed,"2021-04-01 09:24:29",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,15,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,1,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6285,"POWDER COCOA CACAOBARRY 2.5 KG",,"1 X 1 CARTON","2021-04-01 08:35:41",product,https://shop.ewdc.in/product/powder-cocoa-cacaobarry-2-5-kg/,0,DRPOW0155,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0155-1.jpg|https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0155.jpg,DRPOW0155|DRPOW0155,|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/DRPOW0155-1.jpg,,CACAOBARRY,simple,visible,"Chocolate &amp; Confectionery",COCOA,visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,powder-cocoa-cacaobarry-2-5-kg,,default,0,0,open,closed,"2021-04-01 09:24:32",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,15,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,2,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6287,"RICE BASMATI ROZANA CHEF CHOICE 20 KG",,"1 X 1 BAG","2021-04-01 08:35:42",product,https://shop.ewdc.in/product/rice-basmati-rozana-chef-choice-20-kg/,0,DRICE0098,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/chef-choice-1-1.png|https://shop.ewdc.in/wp-content/uploads/2021/04/chef-choice-1.png,"chef choice|chef choice",|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/chef-choice-1-1.png,,"CHEF CHOICE",simple,visible,"Grocery &amp; Food Cupboard","BASMATI, RICE",visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,rice-basmati-rozana-chef-choice-20-kg,,default,0,0,open,closed,"2021-04-01 09:24:33",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,0,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,1,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
6289,"PAPER PLATE 7"" CUPCO 100 PCS",,"1 X 1 PACKET","2021-04-01 08:35:44",product,https://shop.ewdc.in/product/paper-plate-7-cupco-100-pcs/,0,AMPAP0161,400,500,400,instock,100,,,Packages,,no,no,no,,https://shop.ewdc.in/wp-content/uploads/2021/04/AMPAP0161-1.jpeg|https://shop.ewdc.in/wp-content/uploads/2021/04/AMPAP0161.jpeg,AMPAP0161|AMPAP0161,|,|,|,https://shop.ewdc.in/wp-content/uploads/2021/04/AMPAP0161-1.jpeg,,CUPCO,simple,visible,"Cleaning &amp; Household",DISPOSABLES,visible,publish,1,shopewdc,rajkumar@zuantechnology.com,"New order",order,paper-plate-7-cupco-100-pcs,,default,0,0,open,closed,"2021-04-01 09:24:34",no,no,,no,,,,,,,no,yes,,,,,-1,-1,,,no,taxable,15,,a:0:{},,5.1.0,,,0,0,,,a:0:{},a:0:{},,,,330,,,150,,,200,,,,manual,default,,,manual,default,,,manual,default,,,,,,,,default,,,,,,,,,,[],,,,standard,inherit,inherit,inherit,0,disable,inherit,auto,,,,,,,,,,,,,,,,,,,,,,,,
